date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason
2019-10-08,BUY,4,6718.179590009182,26872.718360036728,0,0.0,0.0,buy_signal
2019-10-09,BUY,14,6557.8491854632875,91809.88859648602,1,0.0,0.0,buy_signal
2019-10-10,SELL,14,6657.906691084091,93210.69367517727,1,1393.6401749593947,1110.5221734163938,take_profit
2019-10-10,BUY,9,6660.570386499608,59945.13347849647,2,0.0,0.0,buy_signal
2019-10-11,BUY,9,6738.160017244549,60643.44015520094,3,0.0,0.0,buy_signal
2019-10-14,SELL,4,6884.864751120401,27539.459004481603,0,658.5031642730557,524.7282464509844,take_profit
2019-10-14,SELL,9,6884.864751120401,61963.78276008361,2,2009.2377615862395,1601.061110319995,take_profit
2019-10-14,SELL,9,6884.864751120401,61963.78276008361,3,1315.5902132200101,1048.3280614043651,take_profit
2019-10-14,BUY,4,6887.619247920208,27550.476991680833,4,0.0,0.0,buy_signal
2019-10-15,SELL,4,7166.724930898618,28666.899723594473,4,1114.2200934007349,887.8662814263756,take_profit
2019-10-15,BUY,3,7169.592194323662,21508.776582970986,5,0.0,0.0,buy_signal
2019-10-16,SELL,3,7429.527171707748,22288.581515123242,5,778.0970882590644,620.0266647792355,take_profit
2019-10-16,BUY,1,7432.4995770575,7432.4995770575,6,0.0,0.0,buy_signal
2019-10-17,BUY,1,7245.918731602842,7245.918731602842,7,0.0,0.0,buy_signal
2019-10-18,BUY,5,6969.335712026916,34846.67856013458,8,0.0,0.0,buy_signal
2019-10-21,SELL,5,7111.298389187579,35556.491945937894,8,707.0856163910838,563.4411734212351,take_profit
2019-10-21,BUY,4,7114.143477560929,28456.573910243715,9,0.0,0.0,buy_signal
2019-10-22,BUY,17,6955.3145140795605,118240.34673935254,10,0.0,0.0,buy_signal
2019-10-23,BUY,22,6975.234307262416,153455.15475977317,11,0.0,0.0,buy_signal
2019-10-24,SELL,17,7084.746034476481,120440.68258610019,10,2182.0049843467605,1738.730671776716,take_profit
2019-10-24,SELL,22,7084.746034476481,155864.4127584826,11,2397.2837361009497,1910.2755451120418,take_profit
2019-10-24,BUY,13,7087.580499783334,92138.54649718334,12,0.0,0.0,buy_signal
2019-10-25,BUY,22,6842.599203627638,150537.18247980805,13,0.0,0.0,buy_signal
2019-10-28,BUY,29,6557.742197494501,190174.52372734054,14,0.0,0.0,buy_signal
2019-10-29,BUY,28,6612.743327331447,185156.81316528053,15,0.0,0.0,buy_signal
2019-10-30,BUY,28,6620.0169916831055,185360.47576712695,16,0.0,0.0,buy_signal
2019-10-31,BUY,29,6562.861162107281,190322.97370111116,17,0.0,0.0,buy_signal
2019-11-01,BUY,28,6574.415002159157,184083.6200604564,18,0.0,0.0,buy_signal
2019-11-04,BUY,29,6471.9591502345,187686.8153568005,19,0.0,0.0,buy_signal
2019-11-05,BUY,31,6243.062620196088,193534.94122607872,20,0.0,0.0,buy_signal
2019-11-06,BUY,31,6213.34099125073,192613.57072877264,21,0.0,0.0,buy_signal
2019-11-07,BUY,32,6098.906501357342,195165.00804343494,22,0.0,0.0,buy_signal
2019-11-08,BUY,33,5889.798615349002,194363.35430651705,23,0.0,0.0,buy_signal
2019-11-11,BUY,33,5944.012960813245,196152.42770683707,24,0.0,0.0,buy_signal
2019-11-12,BUY,33,5929.829731017133,195684.38112356537,25,0.0,0.0,buy_signal
2019-11-13,SELL,33,5991.50255931846,197719.5844575092,23,3310.888598711084,2638.281579882927,take_profit
2019-11-13,BUY,33,5993.899639758276,197798.6881120231,26,0.0,0.0,buy_signal
2019-11-14,BUY,35,5671.678169084599,198508.73591796096,27,0.0,0.0,buy_signal
2019-11-15,BUY,36,5418.040558481663,195049.46010533985,28,0.0,0.0,buy_signal
2019-11-18,BUY,39,5109.0692688990375,199253.70148706247,29,0.0,0.0,buy_signal
2019-11-19,BUY,41,4842.315020022531,198534.91582092378,30,0.0,0.0,buy_signal
2019-11-20,BUY,41,4845.138353514943,198650.6724941127,31,0.0,0.0,buy_signal
2019-11-21,BUY,43,4603.9725301253775,197970.81879539124,32,0.0,0.0,buy_signal
2019-11-22,BUY,42,4647.780542999872,195206.78280599462,33,0.0,0.0,buy_signal
2019-11-25,BUY,42,4667.385002301436,196030.1700966603,34,0.0,0.0,buy_signal
2019-11-26,SELL,41,5116.727244108986,209785.81700846844,30,11175.784982079696,8905.424262970206,take_profit
2019-11-26,SELL,41,5116.727244108986,209785.81700846844,31,11075.245374392638,8825.309276584774,take_profit
2019-11-26,SELL,43,5116.727244108986,220019.27149668642,32,22000.825594838054,17531.357875246704,take_profit
2019-11-26,SELL,42,5116.727244108986,214902.5442525774,33,19664.198801362316,15669.41681486556,take_profit
2019-11-26,SELL,42,5116.727244108986,214902.5442525774,34,18855.873246274128,15025.302596293539,take_profit
2019-11-26,BUY,28,5118.774344426693,143325.68164394738,35,0.0,0.0,buy_signal
2019-11-27,BUY,41,4720.658625656995,193547.0036519368,36,0.0,0.0,buy_signal
2019-11-28,SELL,41,4905.0012972022405,201105.05318529185,36,7542.654058521161,6010.363886532587,take_profit
2019-11-28,BUY,32,4906.963690199721,157022.83808639107,37,0.0,0.0,buy_signal
2019-11-29,BUY,36,4825.265769194682,173709.56769100856,38,0.0,0.0,buy_signal
2019-12-02,BUY,38,4767.1030205651905,181149.91478147724,39,0.0,0.0,buy_signal
2019-12-03,BUY,45,4393.034916824829,197686.57125711732,40,0.0,0.0,buy_signal
2019-12-04,BUY,46,4251.5008396551375,195569.03862413633,41,0.0,0.0,buy_signal
2019-12-05,SELL,46,4374.864451725052,201243.7647793524,41,5659.306792314547,4509.618617455847,take_profit
2019-12-05,BUY,45,4376.61474756491,196947.66364042097,42,0.0,0.0,buy_signal
2019-12-06,BUY,46,4295.44510732846,197590.47493710916,43,0.0,0.0,buy_signal
2019-12-09,BUY,46,4274.7589357221705,196638.91104321985,44,0.0,0.0,buy_signal
2019-12-10,BUY,46,4176.660246725335,192126.37134936542,45,0.0,0.0,buy_signal
2019-12-11,SELL,46,4404.596966815696,202611.46047352202,45,10469.621555237522,8342.71793629102,take_profit
2019-12-11,BUY,30,4406.359158040666,132190.77474122,46,0.0,0.0,buy_signal
2019-12-12,BUY,39,4344.161832434989,169422.3114649646,47,0.0,0.0,buy_signal
2019-12-13,BUY,50,3844.6385405813294,192231.92702906646,48,0.0,0.0,buy_signal
2019-12-16,BUY,53,3682.978787252523,195197.87572438372,49,0.0,0.0,buy_signal
2019-12-17,BUY,59,3313.3689804176183,195488.7698446395,50,0.0,0.0,buy_signal
2019-12-18,BUY,64,3072.4024695077937,196633.7580484988,51,0.0,0.0,buy_signal
2019-12-19,BUY,64,3037.7945739472643,194418.85273262492,52,0.0,0.0,buy_signal
2019-12-20,SELL,64,3138.748486484059,200879.90313497977,52,6445.674623724568,5136.235823914922,take_profit
2019-12-20,BUY,61,3140.004237028761,191540.25845875443,53,0.0,0.0,buy_signal
2019-12-23,BUY,61,3140.643439340148,191579.24979974903,54,0.0,0.0,buy_signal
2019-12-24,BUY,63,3063.584369981252,193005.81530881888,55,0.0,0.0,buy_signal
2019-12-25,BUY,62,2995.5608274854735,185724.77130409935,56,0.0,0.0,buy_signal
2019-12-26,SELL,62,3086.577714894147,191367.81832343712,56,5628.4201020218,4485.006558296071,take_profit
2019-12-26,BUY,53,3087.8125929557173,163654.06742665303,57,0.0,0.0,buy_signal
2019-12-27,BUY,57,3099.073068522982,176647.16490580997,58,0.0,0.0,buy_signal
2019-12-30,BUY,55,3097.1333129956734,170342.33221476202,59,0.0,0.0,buy_signal
2019-12-31,BUY,51,3096.081176295352,157900.13999106296,60,0.0,0.0,buy_signal
2020-01-01,BUY,43,3083.765987380327,132601.93745735404,61,0.0,0.0,buy_signal
2020-01-02,SELL,64,3156.3233961745404,202004.6973551706,51,5204.204149912109,4146.970076857464,take_profit
2020-01-02,SELL,63,3156.3233961745404,198848.37395899606,55,5738.196817820058,4572.482134279913,take_profit
2020-01-02,BUY,39,3157.5861780893933,123145.86094548635,62,0.0,0.0,buy_signal
2020-01-03,SELL,53,3191.5332663010963,169151.2631139581,57,5421.108422750885,4319.810246669043,take_profit
