combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
RSI<40 + BB<20 + GOLDEN,3,20,3,59,66.6667,143.5000,20.7574,-7.4680,-7.4680,17.2046,-9.0613,11.3489
RSI<40 + GOLDEN,2,20,3,66,66.6667,143.5000,20.7574,-7.4680,-7.4680,17.2046,-9.0613,11.3489
RSI<40 + RET5<-3 + GOLDEN,3,20,3,30,66.6667,142.5000,20.7517,-7.4680,-7.4680,17.2004,-9.0666,11.3451
BB<10 + GOLDEN,2,20,3,59,66.6667,171.0000,20.7022,-7.4680,-7.4680,17.3739,-11.2569,11.3121
BB<20 + BB<10 + GOLDEN,3,20,3,59,66.6667,171.0000,20.7022,-7.4680,-7.4680,17.3739,-11.2569,11.3121
BB<10 + 52W<30 + RET5<-3,3,20,4,31,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
52W<30 + RET5<-3,2,20,4,37,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
BB<20 + 52W<30 + RET5<-3,3,20,4,34,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
BB<10 + 52W<30,2,20,4,47,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
BB<20 + BB<10 + 52W<30,3,20,4,47,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
BB<20 + 52W<30,2,20,4,64,50.0000,92.5000,20.8339,1.7486,1.7486,15.3172,-6.0464,11.2913
52W<30 + 52W<20 + DD<=-10,3,20,3,33,33.3333,17.0000,20.4831,6.3501,6.3501,15.1284,-4.0903,11.0611
52W<20 + DD<=-10,2,20,3,33,33.3333,17.0000,20.4831,6.3501,6.3501,15.1284,-4.0903,11.0611
RSI<40 + 52W<20 + DD<=-10,3,20,3,22,33.3333,17.0000,20.4831,6.3501,6.3501,15.1284,-4.0903,11.0611
BB<20 + 52W<20 + DD<=-10,3,20,3,24,33.3333,17.0000,20.4831,6.3501,6.3501,15.1284,-4.0903,11.0611
52W<30 + vsMA75<-5,2,20,3,38,33.3333,17.0000,20.4831,6.2106,6.2106,13.2958,-5.3561,10.9681
52W<30 + DD<=-10 + vsMA75<-5,3,20,3,38,33.3333,17.0000,20.4831,6.2106,6.2106,13.2958,-5.3561,10.9681
BB<20 + 52W<30 + vsMA75<-5,3,20,3,22,33.3333,17.0000,20.4831,6.2106,6.2106,13.2958,-5.3561,10.9681
RSI<40 + 52W<30 + vsMA75<-5,3,20,3,20,33.3333,17.0000,20.4831,6.2106,6.2106,13.2958,-5.3561,10.9681
52W<30 + RET20<-5 + vsMA75<-5,3,20,3,30,33.3333,17.0000,20.4831,6.2106,6.2106,13.2958,-5.3561,10.9681
BB<10 + RET5<-3 + GOLDEN,3,20,3,34,66.6667,169.5000,20.1603,-7.4680,-7.4680,16.9481,-11.0865,10.9509
BB<20 + RET5<-3 + GOLDEN,3,20,3,38,66.6667,169.5000,20.1603,-7.4680,-7.4680,16.9481,-11.0865,10.9509
RSI<35 + 52W<30 + DD<=-10,3,15,4,22,50.0000,49.0000,17.4814,3.8575,3.8575,13.8478,-5.0733,10.6695
RSI<40 + 52W<30 + DD<=-10,3,15,4,38,50.0000,49.0000,17.4814,3.8575,3.8575,13.8478,-5.0733,10.6695
52W<30 + DD<=-10 + RET20<-5,3,15,4,48,50.0000,49.0000,17.4814,3.8575,3.8575,13.8478,-5.0733,10.6695
52W<30 + DD<=-10,2,15,4,84,50.0000,49.0000,17.4814,3.8575,3.8575,13.8478,-5.0733,10.6695
BB<20 + 52W<30 + DD<=-10,3,15,4,42,50.0000,49.0000,17.4814,3.8575,3.8575,13.8478,-5.0733,10.6695
52W<30,1,20,4,123,50.0000,116.5000,19.5777,1.7486,1.7486,15.0674,-5.5859,10.6631
RET5<-3 + GOLDEN,2,15,3,55,66.6667,163.0000,16.9579,-2.0622,-2.0622,14.7814,-10.6907,10.6179
RSI<40 + BB<10 + 52W<30,3,15,4,38,50.0000,81.5000,16.8309,4.3934,4.3934,13.5446,-5.9700,10.6121
RSI<40 + 52W<30,2,15,4,53,50.0000,81.5000,16.8309,4.3934,4.3934,13.5446,-5.9700,10.6121
RSI<40 + BB<20 + 52W<30,3,15,4,48,50.0000,81.5000,16.8309,4.3934,4.3934,13.5446,-5.9700,10.6121
BB<20 + GOLDEN,2,20,3,95,66.6667,171.0000,20.7022,-9.5780,-9.5780,17.2195,-11.3689,10.6088
BB<10 + 52W<30 + DD<=-10,3,15,4,30,50.0000,47.0000,17.1077,3.8575,3.8575,13.6435,-4.5804,10.4826
RSI<40 + BB<20 + 52W<20,3,15,3,29,66.6667,11.5000,16.7725,-2.1459,-2.1459,14.1580,-4.8718,10.4664
RSI<40 + 52W<20,2,15,3,30,66.6667,11.5000,16.7725,-2.1459,-2.1459,14.1580,-4.8718,10.4664
RSI<40 + BB<10 + 52W<20,3,15,3,27,66.6667,11.5000,16.7725,-2.1459,-2.1459,14.1580,-4.8718,10.4664
RSI<40 + 52W<30 + 52W<20,3,15,3,30,66.6667,11.5000,16.7725,-2.1459,-2.1459,14.1580,-4.8718,10.4664
52W<30 + vsMA25<-5,2,15,4,20,50.0000,47.0000,17.1077,3.7841,3.7841,13.2881,-4.8731,10.4459
52W<30 + DD<=-10 + STREAK>=5,3,10,3,65,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
52W<30 + STREAK>=5,2,10,3,65,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
BB<10 + 52W<30 + STREAK>=5,3,10,3,21,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
52W<30 + STREAK>=5 + RET20<-5,3,10,3,37,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
RSI<40 + 52W<30 + STREAK>=5,3,10,3,24,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
BB<20 + 52W<30 + STREAK>=5,3,10,3,29,100.0000,98.3333,10.4431,0.0000,0.0000,10.5642,-5.4149,10.4431
RSI<40 + 52W<30 + vsMA75<-5,3,15,3,20,33.3333,7.0000,18.6591,6.2106,6.2106,12.7490,-5.3561,10.3601
BB<20 + 52W<30 + vsMA75<-5,3,15,3,22,33.3333,7.0000,18.6591,6.2106,6.2106,12.7490,-5.3561,10.3601
52W<30 + vsMA75<-5,2,15,3,38,33.3333,7.0000,18.6591,6.2106,6.2106,12.7490,-5.3561,10.3601
52W<30 + RET20<-5 + vsMA75<-5,3,15,3,30,33.3333,7.0000,18.6591,6.2106,6.2106,12.7490,-5.3561,10.3601
52W<30 + DD<=-10 + vsMA75<-5,3,15,3,38,33.3333,7.0000,18.6591,6.2106,6.2106,12.7490,-5.3561,10.3601
52W<20 + DD<=-10 + STREAK>=5,3,20,2,25,0.0000,,20.0000,10.3342,10.3342,13.5527,-4.0492,10.3342
52W<20 + STREAK>=5 + vsMA75<-5,3,20,2,22,0.0000,,20.0000,10.3342,10.3342,13.5527,-4.0492,10.3342
52W<20 + STREAK>=5,2,20,2,25,0.0000,,20.0000,10.3342,10.3342,13.5527,-4.0492,10.3342
52W<30 + 52W<20 + STREAK>=5,3,20,2,25,0.0000,,20.0000,10.3342,10.3342,13.5527,-4.0492,10.3342
DD<=-15 + STREAK>=10 + RET20<-5,3,10,3,21,100.0000,17.3333,10.3205,0.0000,0.0000,10.7322,-1.4191,10.3205
DD<=-10 + STREAK>=5 + GOLDEN,3,15,2,32,50.0000,154.0000,16.3369,4.2734,4.2734,15.6120,-7.6029,10.3052
STREAK>=5 + GOLDEN,2,15,2,32,50.0000,154.0000,16.3369,4.2734,4.2734,15.6120,-7.6029,10.3052
52W<20 + STREAK>=5 + vsMA75<-5,3,10,2,22,100.0000,72.5000,10.2310,0.0000,0.0000,10.6620,-4.0492,10.2310
52W<30 + 52W<20 + STREAK>=5,3,10,2,25,100.0000,72.5000,10.2310,0.0000,0.0000,10.6620,-4.0492,10.2310
52W<20 + DD<=-10 + STREAK>=5,3,10,2,25,100.0000,72.5000,10.2310,0.0000,0.0000,10.6620,-4.0492,10.2310
52W<20 + STREAK>=5,2,10,2,25,100.0000,72.5000,10.2310,0.0000,0.0000,10.6620,-4.0492,10.2310
STREAK>=10 + STREAK>=20,2,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
STREAK>=5 + STREAK>=20,2,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
DD<=-10 + STREAK>=5 + STREAK>=20,3,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
DD<=-10 + STREAK>=10 + STREAK>=20,3,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
DD<=-10 + STREAK>=20,2,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
STREAK>=20,1,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
STREAK>=5 + STREAK>=10 + STREAK>=20,3,15,2,40,50.0000,104.0000,15.8322,4.5034,4.5034,10.4475,-0.3512,10.1678
52W<30 + STREAK>=5 + vsMA75<-5,3,10,4,33,100.0000,56.5000,10.1488,0.0000,0.0000,10.4202,-3.6069,10.1488
DD<=-15 + STREAK>=10 + vsMA75<-5,3,10,2,21,100.0000,12.0000,10.1428,0.0000,0.0000,10.7118,-1.8584,10.1428
52W<30 + 52W<20 + DD<=-10,3,15,3,33,66.6667,11.5000,16.7725,-3.2176,-3.2176,14.1273,-4.0903,10.1092
RSI<40 + 52W<20 + DD<=-10,3,15,3,22,66.6667,11.5000,16.7725,-3.2176,-3.2176,14.1273,-4.0903,10.1092
52W<20 + DD<=-10,2,15,3,33,66.6667,11.5000,16.7725,-3.2176,-3.2176,14.1273,-4.0903,10.1092
BB<20 + 52W<20 + DD<=-10,3,15,3,24,66.6667,11.5000,16.7725,-3.2176,-3.2176,14.1273,-4.0903,10.1092
DD<=-10 + vsMA75<-5 + GOLDEN,3,15,2,23,50.0000,150.0000,15.7650,4.3414,4.3414,15.3287,-6.6260,10.0532
52W<30 + DD<=-15 + STREAK>=5,3,10,2,25,100.0000,65.5000,10.0437,0.0000,0.0000,10.2304,-6.4836,10.0437
DD<=-15 + STREAK>=5 + STREAK>=10,3,15,2,25,0.0000,,15.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10 + RET20<-5,3,15,2,21,0.0000,,15.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10 + vsMA75<-5,3,20,2,21,0.0000,,20.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10 + vsMA75<-5,3,15,2,21,0.0000,,15.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10 + RET20<-5,3,20,2,21,0.0000,,20.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10,2,15,2,25,0.0000,,15.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=10,2,20,2,25,0.0000,,20.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-10 + DD<=-15 + STREAK>=10,3,20,2,25,0.0000,,20.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-15 + STREAK>=5 + STREAK>=10,3,20,2,25,0.0000,,20.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
DD<=-10 + DD<=-15 + STREAK>=10,3,15,2,25,0.0000,,15.0000,9.9944,9.9944,14.2014,-1.8584,9.9944
52W<30 + DD<=-15 + RET20<-5,3,10,4,21,100.0000,14.7500,9.9565,0.0000,0.0000,10.8267,-2.8451,9.9565
DD<=-10 + DD<=-15,2,20,3,41,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
RSI<40 + DD<=-15 + vsMA75<-5,3,20,3,21,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
RSI<40 + DD<=-15 + RET5<-3,3,20,3,21,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
BB<20 + DD<=-15,2,20,3,22,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
BB<20 + DD<=-10 + DD<=-15,3,20,3,22,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
BB<20 + DD<=-15 + RET5<-3,3,20,3,21,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
DD<=-15,1,20,3,41,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
RSI<40 + DD<=-10 + DD<=-15,3,20,3,25,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
RSI<40 + DD<=-15,2,20,3,25,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
RSI<40 + BB<20 + DD<=-15,3,20,3,22,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
DD<=-10 + DD<=-15 + RET5<-3,3,20,3,22,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
DD<=-15 + RET5<-3,2,20,3,22,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
DD<=-10 + DD<=-15 + vsMA75<-5,3,20,3,35,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
DD<=-15 + vsMA75<-5,2,20,3,35,33.3333,17.0000,20.4831,4.6826,4.6826,14.5582,-6.9152,9.9494
52W<30 + STREAK>=10 + vsMA75<-5,3,15,2,20,0.0000,,15.0000,9.8920,9.8920,11.6471,-4.0159,9.8920
52W<30 + STREAK>=10 + vsMA75<-5,3,20,2,20,0.0000,,20.0000,9.8920,9.8920,11.6471,-4.0159,9.8920
DD<=-15 + RET20<-5 + vsMA75<-5,3,20,3,30,33.3333,17.0000,20.4831,4.5360,4.5360,12.6598,-5.8614,9.8517
DD<=-10 + DD<=-15 + RET20<-5,3,20,3,31,33.3333,17.0000,20.4831,4.5360,4.5360,12.6598,-5.8614,9.8517
DD<=-15 + RET20<-5,2,20,3,31,33.3333,17.0000,20.4831,4.5360,4.5360,12.6598,-5.8614,9.8517
52W<30 + DD<=-15,2,10,3,26,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<30 + DD<=-15 + vsMA75<-5,3,10,3,22,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<30 + DD<=-10 + DD<=-15,3,10,3,26,100.0000,44.0000,9.8260,0.0000,0.0000,10.7404,-4.3224,9.8260
52W<20 + STREAK>=5 + vsMA75<-5,3,15,2,22,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<20 + DD<=-10 + STREAK>=5,3,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<30 + 52W<20 + STREAK>=5,3,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
52W<20 + STREAK>=5,2,15,2,25,50.0000,16.0000,14.8860,4.7508,4.7508,12.8714,-4.0492,9.8184
DD<=-10 + RET20<-5 + GOLDEN,3,15,2,39,50.0000,156.0000,15.0028,4.3414,4.3414,14.9802,-8.1335,9.6721
RSI<35 + RET5<-3,2,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RET20<-5,2,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RET20<-5 + RET5<-3,3,20,4,29,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + BB<10,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + RET20<-5,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + BB<20,3,20,4,49,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35,1,20,4,51,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20 + BB<10,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + RSI<40,2,20,4,51,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20,2,20,4,49,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10,2,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10 + RET20<-5,3,20,4,33,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20 + RET20<-5,3,20,4,40,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<10 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
BB<20 + 52W<20 + RET5<-3,3,20,3,21,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<10 + 52W<20,2,20,3,30,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<20 + BB<10 + 52W<20,3,20,3,30,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<10 + 52W<30 + 52W<20,3,20,3,30,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<10 + 52W<20 + RET5<-3,3,20,3,20,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<20 + 52W<20,2,20,3,37,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
52W<20 + RET5<-3,2,20,3,22,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
52W<30 + 52W<20 + RET5<-3,3,20,3,22,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
52W<20,1,20,3,52,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
BB<20 + 52W<30 + 52W<20,3,20,3,37,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
52W<30 + 52W<20,2,20,3,52,33.3333,17.0000,20.4831,4.2412,4.2412,15.0319,-4.9738,9.6552
DD<=-10 + vsMA25<-5 + vsMA75<-5,3,10,5,22,80.0000,57.5000,10.1502,7.2148,7.2148,10.0054,-5.8966,9.5631
RSI<35 + GOLDEN,2,15,3,29,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
RSI<35 + RET20<-5 + GOLDEN,3,15,3,26,66.6667,110.5000,15.3221,-2.1176,-2.1176,15.2577,-7.2801,9.5088
